PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
891,0,3,"Bailey, Mr. Percy Andrew",male,,0,0,345572,0.0,,S
891,1,3,"Hakkarainen, Mr. Pekka Pietari",male,,7,0,SC/PARIS 2133,10.8606,,C
1,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,63.56,1,0,382649,2.2919,,S
383,1,3,"O'Leary, Miss. Hanora ""Norah""",male,,0,1,PC 17609,24.3781,,S
891,1,3,"Asplund, Master. Clarence Gustaf Hugo",female,24.56,0,0,347083,10.1164,,S
1,0,1,"Lundahl, Mr. Johan Svensson",male,24.68,1,0,312991,0.0,,C
428,1,2,"Matthews, Mr. William John",male,21.51,1,0,349239,25.8419,,S
461,1,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",male,14.82,7,0,A/5 21174,316.4014,,S
1,0,3,"Lang, Mr. Fang",male,27.46,1,1,230433,0.0,,S
536,1,3,"Brewe, Dr. Arthur Jackson",male,80.0,1,3,PC 17759,0.0,,S
422,1,3,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,33.62,0,0,219533,0.0,,C
891,1,3,"Weir, Col. John",female,,1,1,C.A. 2315,0.0,,C
122,1,3,"Ostby, Mr. Engelhart Cornelius",male,0.42,1,0,349208,0.0,,S
832,1,1,"Doling, Miss. Elsie",male,,0,1,A/5. 10482,0.0,,S
457,0,3,"Frolicher-Stehli, Mr. Maxmillian",male,0.42,0,0,54636,0.0,E34,S
170,1,1,"Ford, Miss. Robina Maggie ""Ruby""",female,,0,1,54636,21.0118,,S
143,0,3,"Ryerson, Miss. Emily Borie",male,,0,1,A/5. 10482,394.3607,,S
387,0,1,"Holverson, Mr. Alexander Oskar",male,1.31,0,0,315084,42.7763,,S
891,0,3,"O'Sullivan, Miss. Bridget Mary",male,11.5,1,0,347083,17.3452,,Q
691,1,3,"Carter, Mrs. William Ernest (Lucile Polk)",male,12.74,0,0,358585,0.0,,S
194,0,3,"Crosby, Miss. Harriet R",male,,0,1,349209,5.1181,,C
509,0,3,"Calic, Mr. Petar",male,,0,0,SW/PP 751,0.0,,C
119,0,1,"Kelly, Mrs. Florence ""Fannie""",male,25.22,0,1,A/5. 10482,34.8787,,C
475,0,1,"Karaic, Mr. Milan",male,,0,1,349239,0.0,,C
426,1,2,"Andrew, Mr. Edgardo Samuel",male,29.29,0,1,347085,39.2447,,C
425,0,2,"Barbara, Miss. Saiide",male,25.32,1,1,17764,0.0,,Q
891,0,3,"Greenfield, Mr. William Bertram",male,12.08,1,1,370375,23.4626,,C
1,1,3,"Minahan, Dr. William Edward",male,0.42,0,2,11755,0.0,E44,S
49,1,3,"Reeves, Mr. David",male,30.02,0,1,A/5. 10482,4.9235,,Q
767,1,1,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,15.07,0,0,54636,24.7218,A26,S
891,1,1,"Ostby, Mr. Engelhart Cornelius",male,,0,1,250655,0.0,,S
579,1,3,"Brewe, Dr. Arthur Jackson",female,,0,0,54636,25.4207,,S
438,1,2,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,347464,0.0,,C
1,1,3,"Peuchen, Major. Arthur Godfrey",female,10.71,0,0,219533,49.402,C92,Q
891,1,3,"Brewe, Dr. Arthur Jackson",male,62.66,0,0,SOTON/O.Q. 3101311,20.6177,,S
699,0,3,"Lang, Mr. Fang",female,,0,1,367655,0.0,,S
483,1,3,"Daly, Mr. Eugene Patrick",female,0.42,0,0,2689,23.8799,E8,S
283,1,2,"Morley, Mr. William",male,31.01,0,0,113796,41.3398,,C
1,1,3,"Nicola-Yarred, Master. Elias",male,,4,0,219533,0.0,,S
391,1,3,"Pinsky, Mrs. (Rosa)",male,33.53,1,0,228414,0.0717,,C
1,0,2,"Collyer, Mr. Harvey",male,19.33,0,2,2689,30.2841,F E69,S
891,1,1,"Williams, Mr. Charles Duane",male,,1,0,113505,0.0,A26,C
891,1,3,"Emir, Mr. Farred Chehab",male,30.19,0,2,236171,1.5776,,C
384,1,2,"Mamee, Mr. Hanna",female,0.42,6,0,219533,0.0,,S
1,1,3,"Cribb, Mr. John Hatfield",male,,0,0,2689,22.5971,,C
287,0,3,"Rice, Mrs. William (Margaret Norton)",male,,1,1,113051,0.0,,S
1,1,2,"O'Brien, Mr. Timothy",male,,0,0,349239,0.0,B49,S
310,1,3,"Collyer, Mr. Harvey",male,0.42,0,1,219533,6.7732,A31,C
422,1,1,"Lang, Mr. Fang",male,16.61,1,1,29106,42.9307,C126,C
857,1,1,"Connaghton, Mr. Michael",female,,0,0,347083,52.2287,,S
1,1,1,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",male,27.77,0,0,347083,49.9174,,S
891,1,1,"Brewe, Dr. Arthur Jackson",male,61.49,0,0,113051,0.0,,S
891,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",male,5.33,1,0,347061,0.0,,S
1,0,2,"Johnston, Mr. Andrew G",male,57.26,1,0,349239,9.0377,,S
1,1,3,"Daly, Mr. Eugene Patrick",male,26.96,1,1,11769,10.5963,,S
857,1,3,"Willey, Mr. Edward",male,14.62,0,0,A/5 21174,0.0,,S
891,1,2,"Blackwell, Mr. Stephen Weart",female,,0,1,A/5 21174,33.5908,D19,
587,0,3,"Collyer, Miss. Marjorie ""Lottie""",female,25.49,1,0,219533,12.6694,C87,C
777,1,1,"Gustafsson, Mr. Karl Gideon",male,10.35,0,0,349222,0.0378,,S
1,1,3,"Pengelly, Mr. Frederick William",male,,0,1,14312,16.9533,,S
691,1,3,"Kiernan, Mr. Philip",male,,3,0,347071,17.9904,T,C
445,1,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",male,33.4,4,0,345778,48.4693,,C
395,0,1,"Daly, Mr. Eugene Patrick",male,29.33,1,0,SC/AH 29037,0.0,,C
891,1,1,"Tomlin, Mr. Ernest Portage",male,0.42,3,2,349239,5.1312,,S
786,1,2,"Wiseman, Mr. Phillippe",male,,0,0,349239,0.0,,S
801,0,3,"Silvey, Mrs. William Baird (Alice Munger)",male,,0,0,349239,9.0735,,S
365,1,3,"Hogeboom, Mrs. John C (Anna Andrews)",male,0.42,1,0,54636,48.8878,,S
891,1,3,"Calderhead, Mr. Edward Pennington",male,,1,0,347083,61.36,,S
708,1,2,"Lobb, Mr. William Arthur",female,,0,0,14312,0.0,,S
620,1,3,"Flynn, Mr. John Irwin (""Irving"")",male,25.07,8,0,29106,0.0,,C
184,0,1,"Lam, Mr. Ali",female,,7,0,113794,117.2194,,C
891,1,1,"Silverthorne, Mr. Spencer Victor",male,58.87,0,0,113794,0.0,C65,C
656,0,1,"Daly, Mr. Eugene Patrick",male,24.65,0,0,113051,1.8053,,S
666,1,2,"Bracken, Mr. James H",male,48.77,7,1,PC 17609,98.968,B51 B53 B55,Q
424,1,3,"Stanley, Mr. Edward Roland",male,0.42,0,0,347464,0.0,,C
865,1,3,"O'Driscoll, Miss. Bridget",male,,7,0,SC/PARIS 2133,11.3038,,Q
891,1,3,"Peter, Miss. Anna",male,,0,0,PC 17759,0.0,E38,S
750,0,3,"Kiernan, Mr. Philip",male,0.42,0,0,C.A. 2673,0.0,,S
555,1,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",male,,1,0,358585,1.8684,,C
1,0,2,"Berriman, Mr. William John",male,,0,0,SC/PARIS 2133,0.0,,S
483,0,3,"Bailey, Mr. Percy Andrew",male,8.28,0,6,A/4. 34244,0.0,D46,Q
734,1,3,"Danbom, Mr. Ernst Gilbert",male,1.57,7,0,2689,3.0883,A24,S
425,1,3,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,,1,0,219533,0.0,,S
806,0,3,"Wick, Miss. Mary Natalie",male,,0,0,236171,19.5949,,S
768,0,1,"Nakid, Miss. Maria (""Mary"")",male,,0,1,347083,0.0,,S
826,0,1,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",male,,0,0,347464,0.0,,Q
263,1,3,"Dodge, Master. Washington",female,24.67,1,6,65303,0.0,,S
92,1,2,"McGough, Mr. James Robert",male,,1,1,113796,25.5186,,S
436,1,3,"Stead, Mr. William Thomas",male,25.55,1,2,A/5. 10482,19.0009,,S
891,0,1,"Somerton, Mr. Francis William",male,,1,0,SC/AH 29037,0.0,,S
24,0,3,"Asim, Mr. Adola",male,0.42,1,0,SOTON/O.Q. 392078,21.7791,,S
1,1,3,"Alexander, Mr. William",female,8.3,0,0,W./C. 14263,2.9796,,Q
393,0,1,"Brown, Mrs. James Joseph (Margaret Tobin)",male,31.56,1,2,A/5. 3337,0.0,,S
757,1,3,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",male,,0,0,367655,0.0,,S
855,0,3,"Hansen, Mr. Henry Damsgaard",male,,0,1,CA 2144,6.5967,,C
485,1,1,"Frolicher, Miss. Hedwig Margaritha",male,0.42,0,0,4136,50.4932,,S
1,1,1,"Daly, Mr. Eugene Patrick",male,31.8,0,1,228414,0.0,,C
15,1,3,"Ringhini, Mr. Sante",female,45.86,0,0,4136,93.3562,B80,S
583,1,3,"Perkin, Mr. John Henry",male,22.76,0,2,236171,10.0736,B77,S
1,0,3,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",male,,0,0,113796,16.2747,E38,C
867,1,3,"Bidois, Miss. Rosalie",male,80.0,0,1,SC/PARIS 2133,14.2368,,S
1,1,1,"Stanley, Miss. Amy Zillah Elsie",male,69.2,1,0,A/5. 10482,12.1898,A26,S
436,1,1,"Olsen, Mr. Henry Margido",male,16.59,1,0,250644,12.0523,,S
891,1,2,"Hogeboom, Mrs. John C (Anna Andrews)",male,,0,0,2664,0.0,,S
1,1,2,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",male,,0,0,315084,67.6306,,S
503,1,3,"McMahon, Mr. Martin",male,2.94,0,0,SOTON/O.Q. 3101307,0.0,,S
419,1,3,"Allison, Miss. Helen Loraine",male,80.0,0,0,349246,18.149,,Q
175,1,1,"Nicola-Yarred, Master. Elias",male,,1,0,347083,24.2348,,S
1,1,3,"Lang, Mr. Fang",male,,2,0,A/5. 851,12.1117,,S
891,1,1,"Vovk, Mr. Janko",male,25.36,0,0,382649,44.7843,,S
411,1,2,"Pinsky, Mrs. (Rosa)",male,30.72,0,0,31028,0.0,C2,C
1,1,1,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",male,,1,0,349239,0.0,,S
784,1,3,"Slemen, Mr. Richard James",male,17.97,0,0,358585,0.0,,S
417,0,2,"Daly, Mr. Eugene Patrick",male,,0,0,SOTON/O.Q. 392078,0.0,,C
609,1,1,"Weir, Col. John",male,24.71,0,0,SC/PARIS 2133,7.7707,,Q
1,1,3,"Van Impe, Mr. Jean Baptiste",female,,0,1,347083,8.9167,,S
717,0,1,"Widegren, Mr. Carl/Charles Peter",female,43.98,0,0,349239,24.0758,,S
891,0,1,"Silverthorne, Mr. Spencer Victor",male,,0,1,113786,14.7382,,S
233,1,1,"Troupiansky, Mr. Moses Aaron",male,,0,2,2694,48.9584,B28,C
341,1,1,"Glynn, Miss. Mary Agatha",male,,0,0,349239,20.4281,E121,S
1,0,3,"O'Brien, Mr. Timothy",male,,0,1,A/5. 10482,43.6767,,S
276,1,3,"Collyer, Mr. Harvey",male,28.77,0,2,SC/PARIS 2133,14.9714,,S
1,1,3,"Elias, Mr. Tannous",male,,1,0,219533,140.5886,,C
803,0,2,"Reuchlin, Jonkheer. John George",male,,1,0,SC/PARIS 2131,94.847,D36,Q
454,0,1,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,34.01,1,1,A/5 21174,0.0,,Q
1,0,3,"Brewe, Dr. Arthur Jackson",male,,0,1,54636,13.7293,,C
1,1,3,"Tikkanen, Mr. Juho",female,7.24,0,1,347464,0.0,C52,C
1,0,3,"Ross, Mr. John Hugo",male,,8,0,113794,0.0,,C
376,1,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",male,1.14,1,1,2694,12.3895,,C
22,1,3,"Mitkoff, Mr. Mito",male,20.91,0,0,A/5 21174,0.0,,Q
1,1,3,"O'Sullivan, Miss. Bridget Mary",male,34.71,0,2,347071,21.4119,,S
876,0,3,"Douglas, Mr. Walter Donald",male,,0,2,349239,31.3579,,S
677,1,1,"Aubart, Mme. Leontine Pauline",male,,0,0,349214,17.3489,,S
891,0,3,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",male,21.5,1,1,349239,45.6899,,S
543,1,2,"Lang, Mr. Fang",female,7.83,0,1,349239,0.0,,S
456,1,3,"Collyer, Mr. Harvey",male,,7,6,113051,8.2036,,S
891,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,44.24,1,0,219533,48.2298,,C
1,1,1,"Hamalainen, Master. Viljo",male,80.0,0,0,C.A. 29178,0.0,,S
646,1,1,"Harris, Mr. Henry Birkhardt",male,0.42,0,0,11751,6.5002,,C
1,0,1,"Meyer, Mr. Edgar Joseph",male,27.15,0,1,370375,0.0,,S
450,1,2,"Turpin, Mr. William John Robert",male,19.67,0,0,54636,33.0683,,S
639,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,,0,0,358585,44.1395,,S
891,1,2,"Sharp, Mr. Percival James R",male,31.57,1,0,374910,99.9258,F2,C
144,0,3,"Leinonen, Mr. Antti Gustaf",male,,1,0,382649,0.0,,S
891,0,2,"Flynn, Mr. John Irwin (""Irving"")",male,,0,1,4136,20.0172,,Q
134,0,3,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",male,14.07,1,1,STON/O 2. 3101280,0.0,,S
123,1,3,"Tikkanen, Mr. Juho",male,16.33,0,0,347061,0.0,,S
385,0,1,"Collyer, Mr. Harvey",male,34.31,0,0,349239,55.6138,,C
343,0,3,"Daly, Mr. Peter Denis ",male,28.38,0,1,113796,22.401,C103,S
462,0,2,"Tikkanen, Mr. Juho",female,,0,0,113796,20.7506,,S
891,1,3,"Eustis, Miss. Elizabeth Mussey",female,28.01,0,0,A/5. 10482,0.0,,S
453,0,1,"Leinonen, Mr. Antti Gustaf",male,,0,2,110413,0.0,,S
1,0,3,"McCormack, Mr. Thomas Joseph",male,,1,0,14312,0.0,,S
1,0,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",male,26.44,0,0,113051,0.0,,S
634,0,3,"Lang, Mr. Fang",male,38.46,1,0,113796,36.1688,,Q
481,1,3,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,,1,0,349239,17.4105,,C
421,0,2,"Theobald, Mr. Thomas Leonard",male,0.42,0,3,349239,0.0,C92,S
313,1,2,"Canavan, Miss. Mary",male,,1,0,349239,0.0,,S
421,1,3,"Montvila, Rev. Juozas",male,0.42,1,1,SOTON/O.Q. 3101305,0.0,D37,S
35,1,3,"Nicola-Yarred, Master. Elias",male,0.42,0,0,4136,0.0,,C
387,1,3,"Leyson, Mr. Robert William Norman",male,,1,0,11751,1.7732,,S
379,0,3,"Skoog, Miss. Mabel",male,0.48,1,0,113796,0.0,,C
1,1,3,"Sedgwick, Mr. Charles Frederick Waddington",female,13.94,0,0,347073,20.563,,S
891,1,3,"Silverthorne, Mr. Spencer Victor",male,,0,0,113051,8.9362,,S
385,1,3,"Brewe, Dr. Arthur Jackson",male,80.0,0,0,PC 17609,0.0,C110,C
1,1,3,"Collyer, Mr. Harvey",male,6.79,0,1,347083,18.1934,,S
891,0,2,"Richards, Master. George Sibley",male,0.42,0,0,219533,0.9348,C70,S
1,1,1,"Keane, Mr. Andrew ""Andy""",male,70.48,0,0,347054,0.1932,D45,S
1,0,3,"Brewe, Dr. Arthur Jackson",male,33.7,0,0,219533,0.0,D17,S
96,0,3,"Beesley, Mr. Lawrence",male,80.0,7,1,113786,0.0,,S
618,0,3,"Behr, Mr. Karl Howell",male,24.46,0,0,11751,0.0,,S
1,1,2,"Panula, Mrs. Juha (Maria Emilia Ojala)",male,34.83,0,3,349239,21.2995,,S
1,1,1,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",male,,1,0,113056,25.0645,,C
465,0,1,"Arnold-Franchi, Mr. Josef",male,,0,1,364849,40.6128,C68,
1,1,2,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",male,36.14,0,0,2689,0.0603,D7,S
276,0,3,"Burke, Mr. Jeremiah",female,,1,0,349239,0.0,,S
525,0,1,"Johnson, Miss. Eleanor Ileen",male,80.0,0,0,350046,35.0672,,C
562,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,13.76,0,0,SOTON/O.Q. 392078,28.5314,D20,S
891,1,3,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,,7,0,SOTON/O.Q. 392078,22.7874,,S
1,0,3,"Barkworth, Mr. Algernon Henry Wilson",male,31.42,0,0,343275,30.3059,E58,S
1,1,1,"Coutts, Master. William Loch ""William""",male,0.42,0,1,219533,367.3526,C65,S
1,0,3,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",male,0.42,6,0,4136,9.6347,,S
385,1,3,"Perreault, Miss. Anne",male,48.95,1,0,C 17369,24.3133,B96 B98,S
1,1,2,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",male,,0,0,347071,17.5177,,S
1,1,1,"Vande Velde, Mr. Johannes Joseph",male,26.51,0,0,349239,4.8124,C91,S
1,1,3,"Reynaldo, Ms. Encarnacion",female,12.6,0,0,C.A. 17248,8.2469,,S
313,1,3,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,,0,0,113786,4.2822,,C
891,1,1,"Eklund, Mr. Hans Linus",male,,0,1,349239,10.9019,,S
570,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",male,13.66,1,2,113056,0.0,,Q
830,1,3,"Barbara, Miss. Saiide",male,6.14,1,0,SOTON/O.Q. 392078,131.5768,,S
891,0,1,"Boulos, Mr. Hanna",male,,8,0,113796,13.7762,,S
1,0,1,"Ibrahim Shawah, Mr. Yousseff",male,,0,0,349239,20.488,,C
1,1,3,"Ford, Mr. William Neal",female,,1,0,11751,0.0,,Q
480,1,3,"Simonius-Blumer, Col. Oberst Alfons",male,,0,0,349219,0.0,,S
1,1,3,"McMahon, Mr. Martin",male,,0,1,C.A. 17248,13.8786,,C
1,1,2,"Otter, Mr. Richard",male,24.39,0,1,SC/PARIS 2133,25.7493,,S
891,1,3,"Dodge, Master. Washington",female,24.79,0,0,350046,15.9807,C30,S
741,1,1,"Lindell, Mr. Edvard Bengtsson",male,30.96,1,0,347083,9.8724,,S
333,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",male,,0,0,349239,9.5537,E38,C
891,1,3,"O'Connell, Mr. Patrick D",male,,1,0,113794,0.0,,C
648,1,3,"Nirva, Mr. Iisakki Antino Aijo",male,,1,0,2641,0.0,,C
388,1,3,"Morley, Mr. William",male,,0,0,19943,0.0,,C
1,1,3,"Mallet, Master. Andre",male,30.73,1,0,113051,0.0,,S
891,1,2,"O'Brien, Mr. Thomas",male,24.39,1,0,349208,107.4584,,S
1,0,1,"Nakid, Miss. Maria (""Mary"")",male,,0,0,347083,54.4895,,C
891,0,2,"Barbara, Miss. Saiide",male,8.92,0,0,36963,42.8577,B57 B59 B63 B66,C
427,1,1,"Foreman, Mr. Benjamin Laventall",male,,3,2,349239,0.0,A10,S
1,1,3,"Daly, Mr. Eugene Patrick",male,6.7,1,0,SOTON/O.Q. 392078,0.0,,S
1,1,1,"McMahon, Mr. Martin",male,34.13,0,0,347464,18.3249,,S
891,1,2,"Berglund, Mr. Karl Ivar Sven",female,25.1,5,1,347073,16.0058,,S
891,0,1,"Fortune, Mr. Charles Alexander",male,8.63,0,2,350046,8.6974,,S
891,1,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",male,,0,0,228414,0.0,,S
1,1,3,"Brewe, Dr. Arthur Jackson",male,14.55,0,0,SC/PARIS 2133,14.0213,,S
104,1,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",male,25.4,1,0,SC/PARIS 2133,0.0,,S
378,1,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",male,,0,0,113760,0.0,,S
891,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",male,0.42,1,0,A./5. 3235,25.4117,D30,Q
739,0,2,"Yasbeck, Mrs. Antoni (Selini Alexander)",male,25.75,0,0,SC/PARIS 2133,35.6322,E44,S
749,1,1,"Lines, Miss. Mary Conover",male,,1,1,113051,0.0,,S
567,1,3,"Barbara, Miss. Saiide",female,25.19,0,1,315084,26.1518,,C
1,1,3,"Maenpaa, Mr. Matti Alexanteri",female,,0,0,349239,5.8385,,Q
774,1,1,"Mellinger, Miss. Madeleine Violet",male,0.42,0,0,219533,17.0451,,S
450,0,1,"Cherry, Miss. Gladys",male,0.42,0,0,110413,0.0,E49,S
378,1,1,"Kantor, Mrs. Sinai (Miriam Sternin)",male,,0,0,349239,51.6768,,C
639,1,1,"Lobb, Mr. William Arthur",male,9.9,0,3,349239,6.0788,,S
1,0,3,"Collyer, Mr. Harvey",male,62.53,0,0,28664,7.4627,,Q
891,1,1,"Stead, Mr. William Thomas",male,,0,0,349209,17.2613,,S
189,1,1,"Asplund, Master. Edvin Rojj Felix",female,80.0,1,0,2689,220.0828,B35,S
126,1,1,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,,1,0,349239,0.0,E24,Q
121,1,3,"Cleaver, Miss. Alice",female,1.09,0,0,358585,18.8214,,S
851,1,1,"Ryerson, Miss. Susan Parker ""Suzette""",male,0.42,0,0,347083,4.0027,,S
1,1,1,"Lang, Mr. Fang",male,25.53,0,0,347076,17.6496,,C
891,0,1,"Yasbeck, Mrs. Antoni (Selini Alexander)",male,31.63,1,2,230433,0.0,,C
397,0,3,"Kantor, Mrs. Sinai (Miriam Sternin)",male,,1,0,113760,0.5807,,S
179,1,1,"Sloper, Mr. William Thompson",male,7.75,1,0,372622,0.0,B78,C
1,1,3,"Hays, Miss. Margaret Bechstein",male,0.42,0,1,11753,0.0,,S
611,1,2,"Sirayanian, Mr. Orsen",male,0.42,1,0,349239,36.579,B79,S
505,1,1,"Brewe, Dr. Arthur Jackson",male,,1,1,PC 17759,0.0,,S
844,1,1,"Bailey, Mr. Percy Andrew",male,29.35,0,0,364500,0.0,,S
1,1,3,"Ford, Miss. Doolina Margaret ""Daisy""",male,17.5,0,0,219533,0.0,,C
730,1,3,"Widegren, Mr. Carl/Charles Peter",male,,0,0,PC 17474,0.0,,C
439,1,2,"Kallio, Mr. Nikolai Erland",female,0.42,1,1,A/5 21174,21.5994,,C
747,0,1,"Parkes, Mr. Francis ""Frank""",female,,0,1,SC/PARIS 2133,55.1027,,S
538,1,2,"Rush, Mr. Alfred George John",male,,1,1,14312,45.0904,,S
317,1,1,"Johnston, Miss. Catherine Helen ""Carrie""",male,,1,0,236171,21.1164,E63,S
891,1,1,"Weir, Col. John",male,,0,0,SOTON/O.Q. 3101307,0.0,,C
598,1,1,"Brewe, Dr. Arthur Jackson",male,,0,2,347073,14.6483,,S
395,1,2,"Hold, Mr. Stephen",male,22.07,1,0,11751,0.0,D46,S
1,1,3,"Leitch, Miss. Jessie Wills",female,,0,1,113786,47.7494,,C
484,1,3,"O'Sullivan, Miss. Bridget Mary",male,,1,6,W.E.P. 5734,8.6272,,S
891,1,1,"Collyer, Mr. Harvey",male,0.42,0,0,A/5 21174,7.0994,,S
517,1,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",male,8.96,0,0,219533,0.4087,,C
177,1,3,"Richards, Master. George Sibley",male,,1,0,54636,33.6918,F G63,Q
439,1,3,"Brewe, Dr. Arthur Jackson",female,,1,0,347071,344.2475,,S
507,1,3,"Longley, Miss. Gretchen Fiske",male,33.15,4,0,SOTON/O.Q. 3101310,0.0,E33,S
239,1,1,"Brewe, Dr. Arthur Jackson",male,12.43,0,1,349239,3.171,,S
1,1,3,"Brewe, Dr. Arthur Jackson",female,,7,0,358585,46.7536,,S
473,0,1,"Parrish, Mrs. (Lutie Davis)",male,0.42,1,0,250649,137.8812,,S
777,1,3,"Lam, Mr. Ali",female,34.06,0,1,113051,19.3893,,C
1,1,2,"Lang, Mr. Fang",male,,1,0,A/5. 3337,32.1098,,S
891,1,2,"Osen, Mr. Olaf Elon",female,,0,0,A/5. 10482,25.7143,,S
1,0,3,"Silverthorne, Mr. Spencer Victor",male,70.84,1,0,113796,0.0,E10,S
429,1,3,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,,0,0,A/5. 10482,1.4605,,S
78,1,3,"Lang, Mr. Fang",male,,0,0,349239,24.5649,,C
820,0,1,"Jacobsohn, Mr. Sidney Samuel",male,,0,3,2689,22.3304,,C
25,0,3,"Windelov, Mr. Einar",male,24.56,1,1,349208,0.0,E10,S
419,1,1,"Hoyt, Mr. William Fisher",male,,1,0,SOTON/OQ 3101317,0.0,D35,Q
891,1,1,"Sivic, Mr. Husein",male,,1,0,349239,6.1001,,S
411,1,1,"Richards, Mrs. Sidney (Emily Hocking)",female,26.19,0,3,SC/PARIS 2133,0.0,D21,S
826,0,2,"Brewe, Dr. Arthur Jackson",female,33.96,0,0,219533,115.2401,,S
